,Movie,Rank,Released Year,Ratings,Director
0,Kantara,1,2022,8.5,Rishab Shetty
1,Ramayana: The Legend of Prince Rama,2,1993,8.5,Ram Mohan
2,Rocketry: The Nambi Effect,3,2022,8.4,Madhavan
3,Nayakan,4,1987,8.4,Mani Ratnam
4,Anbe Sivam,5,2003,8.4,Sundar C.
5,Golmaal,6,1979,8.4,Hrishikesh Mukherjee
6,777 Charlie,7,2022,8.4,Kiranraj K
7,Jai Bhim,8,2021,8.4,T.J. Gnanavel
8,Pariyerum Perumal,9,2018,8.4,Mari Selvaraj
9,3 Idiots,10,2009,8.4,Rajkumar Hirani
10,Apur Sansar,11,1959,8.3,Satyajit Ray
11,Manichitrathazhu,12,1993,8.3,Fazil
12,Black Friday,13,2004,8.3,Anurag Kashyap
13,Kumbalangi Nights,14,2019,8.3,Madhu C. Narayanan
14,Soorarai Pottru,15,2020,8.3,Sudha Kongara
15,#Home,16,2021,8.3,Rojin Thomas
16,Taare Zameen Par,17,2007,8.3,Aamir Khan
17,C/o Kancharapalem,18,2018,8.3,Venkatesh Maha
18,Kireedam,19,1989,8.3,Sibi Malayil
19,Dangal,20,2016,8.3,Nitesh Tiwari
20,Kaithi,21,2019,8.3,Lokesh Kanagaraj
21,Jersey,22,2019,8.3,Gowtam Tinnanuri
22,96,23,2018,8.2,C. Prem Kumar
23,Asuran,24,2019,8.2,Vetrimaaran
24,Thevar Magan,25,1992,8.2,Bharathan
25,Visaaranai,26,2015,8.2,Vetrimaaran
26,Natsamrat,27,2016,8.2,Mahesh Manjrekar
27,Drishyam 2,28,2021,8.2,Jeethu Joseph
28,Thalapathi,29,1991,8.2,Mani Ratnam
29,Pather Panchali,30,1955,8.2,Satyajit Ray
30,Sarpatta Parambarai,31,2021,8.2,Pa. Ranjith
31,Jaane Bhi Do Yaaro,32,1983,8.2,Kundan Shah
32,Thani Oruvan,33,2015,8.2,Mohan Raja
33,Sardar Udham,34,2021,8.2,Shoojit Sircar
34,Aparajito,35,1956,8.2,Satyajit Ray
35,Drishyam,36,2013,8.2,Jeethu Joseph
36,Vada Chennai,37,2018,8.2,Vetrimaaran
37,Khosla Ka Ghosla!,38,2006,8.2,Dibakar Banerjee
38,Sita Ramam,39,2022,8.2,Hanu Raghavapudi
39,Ratsasan,40,2018,8.1,Ram Kumar
40,Chupke Chupke,41,1975,8.1,Hrishikesh Mukherjee
